# DEPTH(m)    AC_TDR_CORRECTED(us/ft)    RHO_TDR_CORRECTED(kg/m3)
755.5941 150.932228 2088.541560
755.6942 150.032606 2091.906392
755.7941 148.386682 2097.737331
755.8941 146.057529 2105.905212
755.9941 143.259072 2115.735540
756.0941 140.398335 2125.760897
756.1942 138.203137 2133.106687
756.2941 137.813818 2133.106687
756.3941 137.352451 2133.106687
756.4941 139.502599 2122.646719
756.5941 142.716468 2108.190710
756.6942 145.845694 2094.257108
756.7941 146.964516 2088.176057
756.8941 146.560058 2088.176057
756.9941 146.200361 2088.176057
757.0941 143.029632 2098.431038
757.1942 139.692750 2109.730001
757.2941 139.467972 2109.730001
757.3941 139.288250 2109.730001
757.4941 139.566392 2108.190710
757.5941 143.879502 2092.121176
757.6942 149.118571 2073.617469
757.7941 153.837631 2057.762250
757.8941 156.887637 2047.974869
757.9941 156.977617 2047.974869
758.0941 157.112565 2047.974869
758.1942 157.469586 2047.405592
758.2941 157.694485 2047.405592
758.3941 159.980217 2040.976917
758.4941 165.438036 2025.021874
758.5941 172.533823 2005.033278
758.6942 179.607834 1986.178780
758.7941 180.309187 1986.178780
758.8941 181.201603 1986.178780
758.9941 181.911300 1986.424616
759.0941 173.962800 2011.079759
759.1942 164.094376 2043.111775
759.2941 154.861451 2075.350755
759.3941 148.160117 2100.599442
759.4941 144.736829 2114.532874
759.5941 144.621343 2115.852964
759.6942 144.690699 2116.118236
759.7941 144.264788 2117.907468
759.8941 143.336704 2121.266952
759.9941 139.912430 2134.046728
760.0941 134.828960 2153.650389
760.1942 129.032095 2176.883841
760.2941 123.788198 2198.448773
760.3941 121.918365 2204.686383
760.4941 121.304106 2204.686383
760.5941 120.595650 2204.686383
760.6942 123.947564 2185.764899
760.7941 128.502786 2162.118779
760.8941 133.685907 2137.389131
760.9941 138.987819 2114.117652
761.0941 143.788949 2094.116772
761.1942 147.649045 2078.523680
761.2941 150.220637 2068.068471
761.3941 150.091653 2067.116547
761.4941 149.752659 2067.116547
761.5941 149.485883 2067.116547
761.6942 146.998252 2074.921049
761.7941 144.021938 2084.844543
761.8941 140.960867 2095.576408
761.9941 138.194966 2105.764629
762.0941 136.097284 2113.951677
762.1942 135.600927 2116.459543
762.2941 135.839707 2116.459543
762.3941 136.150549 2116.459543
762.4941 137.967741 2111.053877
762.5941 139.980153 2105.261873
762.6942 141.738070 2100.741965
762.7941 142.888943 2098.732850
762.8941 143.560698 2098.732850
762.9941 144.310678 2098.732850
763.0941 145.094796 2098.732850
763.1942 145.807243 2098.732850
763.2941 146.675936 2097.875254
763.3941 148.060956 2094.865777
763.4941 149.623880 2090.959078
763.5941 151.100407 2087.113303
763.6942 151.670668 2086.212084
763.7941 151.906373 2086.212084
763.8941 152.062602 2086.212084
763.9941 150.702538 2091.316303
764.0941 148.507077 2099.227855
764.1942 145.562151 2109.786013
764.2941 142.076868 2122.385026
764.3941 138.427307 2135.706721
764.4941 135.161255 2147.563651
764.5941 134.761806 2147.563651
764.6942 134.282692 2147.563651
